sample,library,identity,Nb,Ti,V,Zr,Nb+Ti,V+Zr,Nb+Ti_over_V+Zr,V_Zr,Nb_Ti,Ti_V,Nb_Zr,Ti_Zr,Nb_V,Ti_V_over_Nb_Zr,Ti_Zr_over_Nb_V,Nb_Ti_over_V_Zr,Nb_over_V_Zr,LogNb_Ti_over_V_Zr,logNb_over_V_Zr,Log_Nb_Ti,Log_Ti_V,Log_Nb_Zr,LogTi_Zr_over_Nb_V,Nb_over_Nb+Zr,Zr_over_Nb+Zr,LogNb_over_Nb+Zr,LogZr_over_Nb+Zr,Phase,Microstructure,H,Er,Mixing_Enthalpy,PDAS,r_avg,delta_pct,Smix_J_over_mol·K,VEC,Estimated_Density
1,1,S1,11.2,6.5,45.4,36.9,17.7,82.3,0.215066829,1.230352304,1.723076923,0.143171806,0.303523035,0.176151762,0.246696035,0.471699969,0.714043748,1.400474415,9.1030837,0.336811047,2.208613224,0.544111601,-1.943709928,-1.192297773,-0.751412155,0.232848233,0.767151767,-1.457368399,-0.265070626,BCC,planar,7.57,77.7,0.1219,,145.783,8.04986005,9.554849063,4.566,6.478582297
2,1,S2,4.6,23.7,51.4,20.3,28.3,71.7,0.394700139,2.532019704,0.194092827,0.461089494,0.226600985,1.167487685,0.089494163,2.034807985,13.04540587,0.076655338,1.816731518,-2.568436031,0.597039017,-1.639418745,-0.774163124,-1.484564583,0.710401458,0.184738956,0.815261044,-1.6888115,-0.204246917,BCC,dendrites,4.66,104.9,0.07539,0.4898,142.911,7.153038676,9.549659513,4.56,5.948886149
3,1,S3,5.9,38.4,44.6,11.1,44.3,55.7,0.795332136,4.018018018,0.153645833,0.860986547,0.531531532,3.459459459,0.132286996,1.619822148,26.15116812,0.03823921,1.46838565,-3.263893859,0.3841636,-1.873105109,-0.149676399,-0.631992757,0.482316358,0.347058824,0.652941176,-1.058260993,-0.426268236,BCC,dendrites,5.16,108.5,0.04312,0.5031,142.586,6.061895213,9.466600787,4.505,5.678318652
4,1,S4,7.5,33.1,41.6,17.8,40.6,59.4,0.683501684,2.337078652,0.226586103,0.795673077,0.421348315,1.859550562,0.180288462,1.888397436,10.31430712,0.096952707,3.209134615,-2.333531972,1.166001311,-1.484630262,-0.228566885,-0.864295437,0.635728552,0.296442688,0.703557312,-1.215901375,-0.351605938,BCC,dendrites,5.09,103,0.05923,0.7931,143.831,6.61113465,10.24550805,4.491,5.857204402
5,1,S5,7.7,28.8,42.2,21.3,36.5,63.5,0.57480315,1.981220657,0.267361111,0.682464455,0.361502347,1.352112676,0.182464455,1.88785622,7.410279861,0.13494767,3.886492891,-2.002868207,1.357507181,-1.319155058,-0.382044834,-1.017486744,0.63544191,0.265517241,0.734482759,-1.326075501,-0.308588757,BCC,dendrites,4.88,100,0.06929,0.6945,144.206,6.920139721,10.38752964,4.499,5.954500039
6,1,S6,7.8,27,50.2,15,34.8,65.2,0.533742331,3.346666667,0.288888889,0.537848606,0.52,1.8,0.155378486,1.034324241,11.58461538,0.086321381,2.330677291,-2.449677958,0.846158908,-1.241713132,-0.620178161,-0.653926467,0.033748307,0.342105263,0.657894737,-1.072636802,-0.418710335,BCC ,dendrites,5.42,110.8,0.06194,0.7639,142.346,6.612824454,9.835674068,4.58,5.945456414
7,1,S7,8.3,19.6,51.8,20.3,27.9,72.1,0.386962552,2.551724138,0.423469388,0.378378378,0.408866995,0.965517241,0.16023166,0.925431456,6.025758205,0.16595422,3.252702703,-1.796043315,1.179486252,-0.859274051,-0.971860583,-0.894365371,-0.077495212,0.29020979,0.70979021,-1.237151203,-0.342785832,BCC,dendrites,5.61,113.2,0.08099,0.3828,142.822,7.156716516,9.897094065,4.601,6.114874444
8,1,S8,8.3,22.6,48.8,20.3,30.9,69.1,0.447178003,2.403940887,0.367256637,0.463114754,0.408866995,1.113300493,0.170081967,1.132678254,6.545670366,0.15277274,3.452663934,-1.878803818,1.239146088,-1.001694391,-0.769780407,-0.894365371,0.124584965,0.29020979,0.70979021,-1.237151203,-0.342785832,BCC,dendrites,5.11,101.8,0.0768,0.3593,143.212,7.069849688,10.11394664,4.571,6.064928401
9,1,S9,9.1,29.1,49.7,12.1,38.2,61.8,0.618122977,4.107438017,0.312714777,0.585513078,0.752066116,2.404958678,0.183098592,0.778539368,13.13477432,0.076133779,2.215492958,-2.575263241,0.795474933,-1.162463761,-0.535266759,-0.284931039,-0.25033572,0.429245283,0.570754717,-0.845726768,-0.560795729,BCC,dendrites,5.85,111.5,0.05416,0.93,142.021,6.287710215,9.813596963,4.588,5.926283636
10,1,S10,10.3,20.3,49.7,12.1,30.6,61.8,0.495145631,4.107438017,0.507389163,0.408450704,0.851239669,1.67768595,0.207243461,0.479830439,8.095241916,0.123529353,2.507645875,-2.091276471,0.919344415,-0.678476991,-0.895384047,-0.161061557,-0.73432249,0.459821429,0.540178571,-0.776917064,-0.615855506,BCC ,dendrites,5.11,117.2,0.05478,0.6229,130.837,10.3843255,9.651290931,4.296,6.109293425
11,1,S11,10.5,22.8,41.5,25.2,33.3,66.7,0.499250375,1.646825397,0.460526316,0.54939759,0.416666667,0.904761905,0.253012048,1.318554217,3.575963719,0.279644895,6.375903614,-1.274234712,1.852525824,-0.775385279,-0.598932891,-0.875468737,0.276535846,0.294117647,0.705882353,-1.223775432,-0.348306694,BCC,dendrites,5.11,98.2,0.0814,0.3122,144.776,7.174267519,10.69219412,4.52,6.14544983
12,1,S12,11.1,2.9,62.2,23.8,14,86,0.162790698,2.613445378,3.827586207,0.046623794,0.466386555,0.121848739,0.178456592,0.099968135,0.682792036,1.464574787,4.247266881,0.381564952,1.446275689,1.342234371,-3.065644263,-0.762740472,-2.30290379,0.318051576,0.681948424,-1.145541721,-0.382801249,BCC,dendrites,7.13,100,0.11315,0.4263,141.897,7.701012823,8.178121717,4.733,6.492283809
13,1,S13,14.8,35,45,5.2,49.8,50.2,0.992031873,8.653846154,0.422857143,0.777777778,2.846153846,6.730769231,0.328888889,0.273273273,20.46517672,0.048863492,1.710222222,-3.018724745,0.536623317,-0.860720881,-0.251314428,1.045968555,-1.297282983,0.74,0.26,-0.301105093,-1.347073648,BCC,dendrites,6.11,127.6,0.03576,0.5412,141.678,5.313060281,9.671386647,4.598,5.936654915
14,1,S14,18.7,5.9,48.6,26.8,24.6,75.4,0.326259947,1.813432836,3.169491525,0.121399177,0.697761194,0.220149254,0.384773663,0.173983847,0.572152606,1.74778545,10.31193416,0.55834953,2.33330188,1.153571173,-2.10867118,-0.359878364,-1.748792816,0.410989011,0.589010989,-0.889188802,-0.529310438,BCC,dendrites,7.12,111.9,0.11106,0.3858,143.979,7.560236663,9.844452398,4.673,6.638223139
15,1,S15,21.3,15.3,41,22.4,36.6,63.4,0.577287066,1.830357143,1.392156863,0.373170732,0.950892857,0.683035714,0.519512195,0.39244246,1.314763581,0.760593018,11.63707317,-0.273656864,2.454195965,0.330854244,-0.985719238,-0.050353886,-0.935365352,0.487414188,0.512585812,-0.718641029,-0.668287143,BCC,dendrites,6.03,98.4,0.08629,0.5675,144.369,6.941807555,10.95211446,4.623,6.526504252
16,1,S16,21.5,41.4,31.7,5.4,62.9,37.1,1.69541779,5.87037037,0.519323671,1.305993691,3.981481481,7.666666667,0.678233438,0.32801702,11.30387597,0.088465231,3.662460568,-2.425145673,1.298135208,-0.655227946,0.2669642,1.381653982,-1.114689782,0.799256506,0.200743494,-0.224073351,-1.605727333,BCC,dendrites,6.07,121.7,0.02933,1.2105,143.366,4.917758172,10.12131884,4.532,6.012492922
17,1,S17,22.3,21.5,33.9,22.3,43.8,56.2,0.779359431,1.520179372,1.037209302,0.634218289,1,0.964125561,0.657817109,0.634218289,1.465643789,0.682294025,14.66932153,-0.382294593,2.685758343,0.036533743,-0.455362079,0,-0.455362079,0.5,0.5,-0.693147181,-0.693147181,BCC,dendrites,6.08,111.7,0.07276,0.7451,145.269,6.610030128,11.36071067,4.562,6.44583065
18,1,S18,23.8,31.8,26.5,17.9,55.6,44.4,1.252252252,1.480446927,0.748427673,1.2,1.329608939,1.776536313,0.898113208,0.902521008,1.978076147,0.505541711,16.07622642,-0.682124729,2.777341561,-0.289780709,0.182321557,0.284884868,-0.102563311,0.570743405,0.429256595,-0.560815548,-0.845700416,BCC,dendrites,6.28,111.5,0.04981,0.8592,145.644,5.883824797,11.35569399,4.503,6.294985288
19,1,S19,25.4,20.2,31.9,22.4,45.6,54.3,0.839779006,1.424107143,1.257425743,0.63322884,1.133928571,0.901785714,0.796238245,0.558438032,1.132557649,0.882957261,17.83573668,-0.124478481,2.881204123,0.22906657,-0.456923405,0.125688215,-0.582611621,0.531380753,0.468619247,-0.632276465,-0.757964681,BCC,dendrites,6.97,114.9,0.072,0.7955,145.364,6.519832782,11.39674696,4.569,6.542923296
20,1,S20,26.6,34.1,21.9,17.4,60.7,39.3,1.544529262,1.25862069,0.780058651,1.557077626,1.528735632,1.959770115,1.214611872,1.018539499,1.613494944,0.619772627,21.13424658,-0.478402599,3.050894785,-0.248386169,0.442810747,0.42444101,0.018369738,0.604545455,0.395454545,-0.503278418,-0.927719428,BCC,dendrites,5.25,100.3,0.0418,2.005,146.149,5.557001596,11.27370922,4.485,6.323789827
21,1,S21,27.3,35.7,24.8,12.2,63,37,1.702702703,2.032786885,0.764705882,1.439516129,2.237704918,2.926229508,1.100806452,0.643300248,2.658259773,0.376185958,13.42983871,-0.977671688,2.597479001,-0.268263987,0.364307036,0.80545075,-0.441143715,0.691139241,0.308860759,-0.36941397,-1.17486472,BCC,dendrites,5.74,112.7,0.03796,0.886,145.089,5.300866272,11.0126987,4.521,6.292240784
22,1,S22,28.1,20,30.2,21.7,48.1,51.9,0.926782274,1.391705069,1.405,0.662251656,1.294930876,0.921658986,0.930463576,0.511418538,0.990537416,1.00955298,20.1910596,0.009507639,3.005239913,0.340037303,-0.412109651,0.258457316,-0.670566967,0.564257028,0.435742972,-0.572245408,-0.830702723,BCC,dendrites,7.22,116.6,0.0694,1.0227,145.614,6.371259621,11.40454209,4.583,6.608213928
23,1,S23,28.3,15,37.7,19,43.3,56.7,0.76366843,1.984210526,1.886666667,0.397877984,1.489473684,0.789473684,0.75066313,0.267126562,1.051701692,0.950839965,14.26259947,-0.050409512,2.657640689,0.634811604,-0.921609893,0.398422825,-1.320032719,0.598308668,0.401691332,-0.513648491,-0.912071316,BCC,dendrites,7.27,114.4,0.07911,0.4983,144.286,6.52883988,11.01694378,4.66,6.692128178
24,1,S24,30.9,15.4,37.7,16,46.3,53.7,0.862197393,2.35625,2.006493506,0.408488064,1.93125,0.9625,0.819628647,0.211514855,1.174312298,0.851562231,13.11405836,-0.160682698,2.573684812,0.696388674,-0.895292585,0.658167462,-1.553460047,0.658848614,0.341151386,-0.417261492,-1.075428953,BCC,dendrites,6.81,118.2,0.07414,1.0541,143.87,6.265875962,10.90778407,4.686,6.741222759
25,1,S25,31.9,33.6,28.3,6.2,65.5,34.5,1.898550725,4.564516129,0.949404762,1.187279152,5.14516129,5.419354839,1.127208481,0.23075645,4.807766205,0.207996803,6.98869258,-1.57023257,1.944293497,-0.051920057,0.171664262,1.638056718,-1.466392455,0.837270341,0.162729659,-0.177608272,-1.81566499,BCC,dendrites,5.65,122.2,0.03423,1.0887,143.808,4.839463463,10.48034708,4.602,6.41795855
26,1,S26,33.2,39.7,21.6,5.5,72.9,27.1,2.6900369,3.927272727,0.83627204,1.837962963,6.036363636,7.218181818,1.537037037,0.304481816,4.696166484,0.21293964,8.453703704,-1.546746534,2.134604653,-0.178801312,0.608657873,1.797801784,-1.189143911,0.857881137,0.142118863,-0.153289724,-1.951091508,BCC,dendrites,6.09,132.3,0.02328,1.0817,144.575,4.388254072,10.17105083,4.548,6.343801569
27,1,S27,33.4,21.5,11.5,33.6,54.9,45.1,1.2172949,0.342261905,1.553488372,1.869565217,0.994047619,0.639880952,2.904347826,1.880760219,0.220318292,4.538887765,97.58608696,1.512681996,4.580734932,0.440502965,0.6257059,-0.005970167,0.631676067,0.498507463,0.501492537,-0.696136719,-0.690166552,BCC,dendrites,6.68,79.6,0.0437,0.9122,149.539,5.599182277,10.9073899,4.449,6.731284361
28,1,S28,34.3,18.2,28.6,18.9,52.5,47.5,1.105263158,1.513227513,1.884615385,0.636363636,1.814814815,0.962962963,1.199300699,0.350649351,0.802937048,1.245427649,22.66678322,0.219478964,3.120900558,0.63372376,-0.451985124,0.595983432,-1.047968556,0.644736842,0.355263158,-0.438913042,-1.034896474,BCC,dendrites,5.51,102.7,0.0657,0.9197,145.396,6.0760396,11.22373933,4.629,6.778690664
29,1,S29,41.4,25.4,27.4,5.8,66.8,33.2,2.012048193,4.724137931,1.62992126,0.927007299,7.137931034,4.379310345,1.510948905,0.129870588,2.898384141,0.345019829,8.76350365,-1.064153389,2.170595785,0.488531707,-0.075793839,1.965422963,-2.041216803,0.877118644,0.122881356,-0.131113012,-2.096535975,BCC,dendrites,5.01,131.3,0.03945,0.9975,143.778,4.724433351,10.2516697,4.688,6.796790918
30,1,S30,44.3,12.5,38.1,5.1,56.8,43.2,1.314814815,7.470588235,3.544,0.32808399,8.68627451,2.450980392,1.162729659,0.037770392,2.107953791,0.474393701,5.92992126,-0.74571771,1.780010935,1.265256033,-1.114485638,2.161744137,-3.276229775,0.896761134,0.103238866,-0.108965747,-2.270709884,BCC,dendrites,4.88,88,0.05987,0.8974,142.267,5.022182268,9.478250861,4.824,7.106495859
31,1,S31,51.3,11.2,22.4,15.1,62.5,37.5,1.666666667,1.483443709,4.580357143,0.5,3.397350993,0.741721854,2.290178571,0.147173489,0.323870751,3.087651467,34.58169643,1.127410759,3.543324537,1.521776974,-0.693147181,1.222996008,-1.916143189,0.772590361,0.227409639,-0.258006304,-1.481002313,BCC,dendrites,4.97,87.2,0.05868,0.8841,145.538,5.399381742,10.04500744,4.737,7.288473068
32,1,S32,25.6,10.4,24.1,39.9,36,64,0.5625,0.604010025,2.461538462,0.43153527,0.64160401,0.260651629,1.062240664,0.672588174,0.245379073,4.075327162,42.38340249,1.404951029,3.746756835,0.900786545,-0.840406034,-0.443783972,-0.396622062,0.390839695,0.609160305,-0.939457791,-0.495673819,B+L,dendrites,6.52,97.7,0.08695,0.8974,148.798,6.892489092,10.75616711,4.497,6.750753389
33,1,S33,25.8,10.5,31.8,31.9,36.3,63.7,0.569858713,0.996865204,2.457142857,0.330188679,0.808777429,0.329153605,0.811320755,0.408256545,0.405700955,2.464869721,25.88113208,0.902138955,3.253514212,0.898999235,-1.108091033,-0.212231518,-0.895859515,0.447140381,0.552859619,-0.804882682,-0.592651164,B+L,dendrites,7.17,110.7,0.09386,0.9077,146.755,7.076510103,10.93288978,4.576,6.738291524
34,1,S34,30.3,2.4,41.7,25.6,32.7,67.3,0.485884101,1.62890625,12.625,0.057553957,1.18359375,0.09375,0.726618705,0.048626445,0.129022277,7.75059952,18.60143885,2.047770198,2.923238935,2.535678975,-2.855032391,0.168555361,-3.023587752,0.542039356,0.457960644,-0.612416668,-0.780972029,B+L,dendrites,7.78,125.6,0.1093,1.3223,144.604,7.196681549,9.684634124,4.72,6.972603759
35,1,S35,31,18,20,31,49,51,0.960784314,0.64516129,1.722222222,0.9,1,0.580645161,1.55,0.9,0.374609781,2.669444444,48.05,0.981870378,3.872242135,0.543615447,-0.105360516,0,-0.105360516,0.5,0.5,-0.693147181,-0.693147181,B+L,dendrites,6.55,87.4,0.06408,0.9421,148.12,6.233361045,11.279477,4.51,6.729808712
36,1,S36,24.6,26,30.9,18.5,50.6,49.4,1.024291498,1.67027027,0.946153846,0.841423948,1.32972973,1.405405405,0.796116505,0.632778172,1.765326302,0.566467513,14.72815534,-0.568335547,2.689760991,-0.055350095,-0.172659646,0.284975711,-0.457635357,0.570765661,0.429234339,-0.560776554,-0.845752265,B+S,spinodal,7.67,118.8,0.06028,,145.142,6.173196981,11.39265936,4.555,6.412746199
37,1,S37,26.2,44.1,21.3,8.5,70.3,29.8,2.359060403,2.505882353,0.594104308,2.070422535,3.082352941,5.188235294,1.230046948,0.671701968,4.21791648,0.237083879,10.45539906,-1.439341281,2.347118502,-0.520700372,0.72775271,1.125693247,-0.397940538,0.755043228,0.244956772,-0.280980276,-1.406673523,B+S,spinodal,7.41,128.5,0.02473,,145.221,4.717792888,10.40004409,4.479,6.108631116
38,1,S38,26.7,6.7,35.8,30.8,33.4,66.6,0.501501502,1.162337662,3.985074627,0.187150838,0.866883117,0.217532468,0.745810056,0.215889356,0.291672747,3.428499958,22.97094972,1.232122836,3.134230362,1.382556039,-1.675840367,-0.142851125,-1.532989242,0.464347826,0.535652174,-0.767121382,-0.624270258,B+S,spinodal,8.1,124.3,0.10318,,146.083,7.243872001,10.51009271,4.625,6.821005107
